0,16,0,0
1,32,0,0
2,48,0,0
3,64,0,0
4,80,0,0
5,96,0,0
6,112,0,0
7,128,0,0
8,144,0,0
9,160,0,0
10,176,0,0
11,192,0,0
12,208,0,0
13,224,0,0
14,240,0,0
15,0,0,16
16,16,0,16
17,32,0,16
18,48,0,16
19,64,0,16
20,80,0,16
21,96,0,16
22,112,0,16
23,128,0,16
24,144,0,16
25,160,0,16
26,176,0,16
27,192,0,16
28,208,0,16
29,224,0,16
30,240,0,16
31,0,0,32
32,16,0,32
33,32,0,32
34,48,0,32
35,64,0,32
36,80,0,32
37,96,0,32
38,112,0,32
39,128,0,32
40,144,0,32
41,160,0,32
42,176,0,32
43,192,0,32
44,208,0,32
45,224,0,32
46,240,0,32
47,0,0,48
48,16,0,48
49,32,0,48
50,48,0,48
51,64,0,48
52,80,0,48
53,96,0,48
54,112,0,48
55,128,0,48
56,144,0,48
57,160,0,48
58,176,0,48
59,192,0,48
60,208,0,48
61,224,0,48
62,240,0,48
63,0,0,64
64,16,0,64
65,32,0,64
66,48,0,64
67,64,0,64
68,80,0,64
69,96,0,64
70,112,0,64
71,128,0,64
72,144,0,64
73,160,0,64
74,176,0,64
75,192,0,64
76,208,0,64
77,224,0,64
78,240,0,64
79,0,0,80
80,16,0,80
81,32,0,80
82,48,0,80
83,64,0,80
84,80,0,80
85,96,0,80
86,112,0,80
87,128,0,80
88,144,0,80
89,160,0,80
90,176,0,80
91,192,0,80
92,208,0,80
93,224,0,80
94,240,0,80
95,0,0,96
96,16,0,96
97,32,0,96
98,48,0,96
99,64,0,96
100,80,0,96
101,96,0,96
102,112,0,96
103,128,0,96
104,144,0,96
105,160,0,96
106,176,0,96
107,192,0,96
108,208,0,96
109,224,0,96
110,240,0,96
111,0,0,112
112,16,0,112
113,32,0,112
114,48,0,112
115,64,0,112
116,80,0,112
117,96,0,112
118,112,0,112
119,128,0,112
120,144,0,112
121,160,0,112
122,176,0,112
123,192,0,112
124,208,0,112
125,224,0,112
126,240,0,112
127,0,0,128
128,16,0,128
129,32,0,128
130,48,0,128
131,64,0,128
132,80,0,128
133,96,0,128
134,112,0,128
135,128,0,128
136,144,0,128
137,160,0,128
138,176,0,128
139,192,0,128
140,208,0,128
141,224,0,128
142,240,0,128
143,0,0,144
144,16,0,144
145,32,0,144
146,48,0,144
147,64,0,144
148,80,0,144
149,96,0,144
150,112,0,144
151,128,0,144
152,144,0,144
153,160,0,144
154,176,0,144
155,192,0,144
156,208,0,144
157,224,0,144
158,240,0,144
159,0,0,160
160,16,0,160
161,32,0,160
162,48,0,160
163,64,0,160
164,80,0,160
165,96,0,160
166,112,0,160
167,128,0,160
168,144,0,160
169,160,0,160
170,176,0,160
171,192,0,160
172,208,0,160
173,224,0,160
174,240,0,160
175,0,0,176
176,16,0,176
177,32,0,176
178,48,0,176
179,64,0,176
180,80,0,176
181,96,0,176
182,112,0,176
183,128,0,176
184,144,0,176
185,160,0,176
186,176,0,176
187,192,0,176
188,208,0,176
189,224,0,176
190,240,0,176
191,0,0,192
192,16,0,192
193,32,0,192
194,48,0,192
195,64,0,192
196,80,0,192
197,96,0,192
198,112,0,192
199,128,0,192
200,144,0,192
201,160,0,192
202,176,0,192
203,192,0,192
204,208,0,192
205,224,0,192
206,240,0,192
207,0,0,208
208,16,0,208
209,32,0,208
210,48,0,208
211,64,0,208
212,80,0,208
213,96,0,208
214,112,0,208
215,128,0,208
216,144,0,208
217,160,0,208
218,176,0,208
219,192,0,208
220,208,0,208
221,224,0,208
222,240,0,208
223,0,0,224
224,16,0,224
225,32,0,224
226,48,0,224
227,64,0,224
228,80,0,224
229,96,0,224
230,112,0,224
231,128,0,224
232,144,0,224
233,160,0,224
234,176,0,224
235,192,0,224
236,208,0,224
237,224,0,224
238,240,0,224
239,0,0,240
240,16,0,240
241,32,0,240
242,48,0,240
243,64,0,240
244,80,0,240
245,96,0,240
246,112,0,240
247,128,0,240
248,144,0,240
249,160,0,240
250,176,0,240
251,192,0,240
252,208,0,240
253,224,0,240
254,240,0,240
